XTest,sessionId,y__true,y_pred,y_prob_max
i just placed an order and did not get free spping,INT-sv1appin06-1447626437392-52367,Shipping Inquiry,Shipping Inquiry,0.612053211808
 i want to buy a couple of items online that say clearance on them if t dont work out can i return them both items are shoes ok thank you,INT-va1appin09-1445097733590-22448,Return Policy,Return Policy,0.343092903043
i had ordered the ellingham table and chairs but when i enquires about changing my delivery date i was told ts item is no longer in stock and had to be cancelled from my order is there any way of finding out if ts item will ever come back in stock or whether i should buy it from homebase instead albeit more expensive,INT-va1appin09-1439139164698-118162,Product Inventory,Product Inventory,1.05412756038
"is it possible to have an order sent to two separate addresses ""ok thank you""",INT-va1appin05-1445028511117-38940,Shipping Inquiry,Shipping Inquiry,0.606451891873
i can not sign,INT-sv1appin09-1447621990083-51868,Account_Enquiry,Account_Enquiry,0.323665004115
when is the offer ending,INT-sv1appin10-1438335666731-101490,Promotions/Deals/Discounts,Promotions/Deals/Discounts,1.15788945787
can i apply for a argos card to purchase,INT-sv1appin07-1438627438645-115812,Payment Issues,Payment Issues,0.398738198182
yes please could you clarify the width of ts wardrobe in feet and inches,INT-sv1appin05-1438086607644-82839,Size-Shape,Size-Shape,0.775595262774
i want to cancel an order i just places in a store for a swagway scooter,INT-sv1appin09-1447540797737-46121,Cancellation,Cancellation,1.19535185717
got a email saying i canceled my appt for a oil change on tue11172015 at 900 am but i did not cancel  whats up ,INT-sv1appin07-1447625057736-52214,Order_Issue,Order_Issue,0.274068183118
" sean i just wanted to find out if items on sale qualify for 1000 off for store pick up ""ok thanks""",INT-va1appin07-1445032888450-39507,Promotions/Deals/Discounts,Promotions/Deals/Discounts,0.333153278674
 i had a quick question i added qualifying items for the 25 gift card wth 150 baby purchase is there i code ihave to enter at check out or is it automatic thanks that was it nope that was it just wanted to make sure before completing the order thanks have a great day,INT-sv1appin09-1445195526328-917,Giftcard_Issues,Giftcard_Issues,0.483237961496
visitor 4660 what is the corporate 800 number to buy qty of parts,INT-node0-1401807491253-4660,Product Details,Product Details,0.230142011558
i have an oninre vouche rfor pound10 the vacuum i fancy is in my local branch ccan i use my voucher there,INT-va1appin09-1439224428454-123349,Rewards,Rewards,0.283048227055
i placed a layaway order ts morning and it is not showing up online i have a order number if that will help,INT-sv1appin05-1447527079181-44442,Layaway Query,Layaway Query,0.167872457345
have a coupon code for a snow thrower- it says the regular price is xxx but also says it is 22 inch i would like to know wch product it is the offer is for 399 using code xxxx-xxxx-xxxx-xxx,INT-sv1appin10-1447601490284-49710,Promotions/Deals/Discounts,Promotions/Deals/Discounts,0.410244769018
lease can i have the telephone number to place an order,INT-sv1appin09-1438511381025-109414,Product Comparison,Order_Issue,0.235078463542
i have 415 in points  t are not showing on order i want to make,INT-sv1appin08-1447506894531-41973,Rewards,Rewards,0.548677615245
"is the 18"" electric chain saw price at 8999 in store price as well",INT-sv1appin05-1447598112950-49411,Price _Enquiry,Price _Enquiry,0.198604806864
i wanted to order 1 jacket for my grand daughter but ended up ordering 2 - i want to return 1 of them - how do i do that ok i want to mail it back - i am not close to a store great thank you oh thank you - ts is most helpful no have a good day,INT-sv1appin06-1441124507768-7380,Return Policy,Return Policy,0.175606869018
 what guarantee comes with the ovens please,INT-va1appin06-1439237179325-124602,Product Details,Manufacturer Information,0.247771409
yeah just about to place the order can the delivery be address be different from the billing address,INT-va1appin10-1437500990615-44720,Order_Assistance,Shipping Inquiry,0.160688718728
we was wondering if we could return a medela breast pump that we bought on 8xxxxxx we have everytng including receipt and box no in store,INT-sv1appin10-1445204218888-1143,Return Policy,Return Policy,0.653014154073
visitor 28956 kayle would be so kind as to make sure what i am ordering is a windows 7 ts is a surprise for my brother he knows windows 7 but has problems with windows 8 thank you,INT-node0-1402790059097-28956,Product Details,Product Details,0.141568603878
last time i made a purchase i had points but also an offer to have 5 in points is i spend 10i used those points and mine for the purchaseor so i thoughtmy balance looks a little small,INT-sv1appin05-1447473205009-40534,Rewards,Rewards,1.63531799687
it doesnt appear to be in stock in any of my local stores,INT-sv1appin07-1438634509257-116503,Product Inventory,Product Inventory,0.389318989731
i need to know where my spping label is being sent i got an email saying it as being sent to the pick up,INT-sv1appin05-1447621931116-51866,Return Policy,Shipping Inquiry,0.250039315318
" - is it possible to pick up ts item at a nearby store even tho t do not carry it ""yes - it is """"kiss my face"""" roll on deodorant"" yes - thats it ""thanks - i was trying to avoid the spping charges by picking up the item at a store but it sounds as if thats not possible perhaps i can find another 20 to spend so the spping is free do you agree thats my only option"" thanks for your help nope - all set over and out",INT-sv1appin08-1441459011850-26327,Store_Pickup_Queries,Store_Pickup_Queries,0.466977527191
i would like to know please if the mattress ashley regular mattress for kids 3148512 it is good for my teenager girsl 12 and 15 years old with 45 to 55 kg or it is better the single 1836390 thank you very much,INT-va1appin09-1439232085632-124117,Product Comparison,Product Details,0.361673334448
trying to put sometng in my cart and it wont allow me adam lipps gray and wte mohair coat size 1x 5999 im sorry 6999 adam lippes for target plus size mohair coat - grey  wte plaid,INT-sv1appin07-1445198618942-1002,Product Inventory,Product Details,0.215093282621
can i use my cartwheel when making an online purchase numeric ok thanks for your help,INT-va1appin08-1445123291829-46567,Order_Issue,Order_Issue,0.342364519087
 i am just looking at the beds i am after a double brownchocolate leather effect but not the hygena make i thought i saw a heart of house one yesterday but now i cant see it,INT-sv1appin07-1438098552443-84032,Color,Product Inventory,0.349338109562
visitor 1370 that is with out the extra geek squad warranty correct,INT-node0-1401731992080-1370,Warranty Enquiry,Warranty Enquiry,2.02216425044
" henryhow are you ""i was shopping yesterday and came in ts morning to finish my order everytng appears to be ok on the order but all the gift cards associated to the items im ordering have disappeard from the cart"" do you know if there is a system issue at present around gift card with purchase specials",INT-va1appin08-1445109932837-45239,Giftcard_Issues,Giftcard_Issues,0.961037012693
