XTest,sessionId,y__true,y_pred,y_prob_max
reset password,ID1236235171,Login Issue,Login Issue,0.596897830966
not able to login into my timewarner account,ID1225008231,Login Issue,Login Issue,0.800196428792
new cable modem - need to activate it,ID1223704890,Modem Setup,Modem Setup,0.781234859323
wifi is turned off on ubee modem,ID1235824174,Home Wifi,Home Wifi,0.678357725084
i forgot my login information,ID1233590373,Login Issue,Login Issue,0.567302217716
i have turbo internet and just had a modem swap today yet my download speed is only 50 mbps,ID1219141408,Speed Issue,Speed Issue,0.817086009649
trying to log on to tw online to watch a walking dead episode and i cant sign on help thanks penelope,ID1236107318,Online Tv Issues,Login Issue,0.615243524676
cable box wont reboot,ID1235150890,Signal Issue,Cable Box Not Working,0.509514511263
my on demand channels are not working i have already unplugged the biox and rebooted it,ID1226556574,Odc-Not Working,Channel Issue,0.49387162853
why is my internet slow i have ultimate but speed is 37 not 50,ID1222935414,Speed Issue,Speed Issue,0.951417323214
i cant connect to wifi from my mobil devices,ID1228508987,Home Wifi,Home Wifi,0.626936096841
unable to login to my tw account,ID1229383141,Login Issue,Login Issue,0.654269113586
i forgot my password to my wifi and i want to connect a device to it how can i find out what my password is to my ubee,ID1236103520,Wifi Password,Login Issue,0.589460887996
i have an email acct i am unable to access,ID1221877135,Email Issue,Email Issue,0.48179026464
how do i turn off the energy saver feature on my remote,ID1225986982,Remote,Remote,0.627792883035
my email is in two accounts,ID1225958123,Update,Email Issue,0.629986692662
my home wifi is incredibly slow what can i do to speed it back up,ID1228580584,Speed Issue,Speed Issue,0.871297133718
installing new modem,ID1224990956,Modem Setup,Modem Setup,0.552859252477
account log on has been disabled,ID1229828610,Login Issue,Login Issue,0.422951602299
i am not able to login to my account,ID1230705911,Login Issue,Login Issue,0.741431483321
how to check twc wifi internet speed without connecting your laptop directly to your modem or router,ID1236259694,Speed Issue,Modem Setup,0.465878299445
cable box is unresponsive - cant change channel w remote or directly on the box,ID1228525672,Cable Box Not Working,Cable Box Not Working,0.512215599435
dont remember my password,ID1230900683,Login Issue,Login Issue,0.737469145562
my wifi is very spotty and often does not work,ID1231544457,Home Wifi,Home Wifi,0.59174475867
 for the last two weeks my espn channel has been missing twice ive called about it and it will be fixed but only lasts for a few hours then goes missing again,ID1230993295,Channel Issue,Channel Issue,0.449177167172
i am having trouble logging in can you let me know my username,ID1232644697,Login Issue,Login Issue,0.673564939094
internet connection down,ID1235341457,Internet Not Working,Internet Not Working,0.515921709569
upgraded to extreme 10026 hours agojust getting 20 down and 1 up  need my 100 down and 5 up please,ID1221311241,Upgrade Plan-Internet,Speed Issue,0.522789635011
i havent received emails on my elainegordonaustinrrcom account since monday  have uninstalled and reinstalled have checked roadrunner online instead of through my email app have tried on several devices notng is there  how do i troubleshoot,ID1234549659,Email Issue,Email Issue,0.515639014185
i need to schedule another appointment,ID1221359762,Appointment,Appointment,0.601101777877
need a replacement remote,ID1232575319,Remote,Remote,0.588504686236
where i buy the cable box,ID1224111313,Service Issue,Cable Box Not Working,0.425280426443
my internet stops working repeatedly,ID1229513489,Internet Not Working,Internet Not Working,0.793796543991
ive been locked out of my account,ID1232332097,Login Issue,Account Disabled,0.671867679474
i am receiving email bounce back saying  my mail server 10714166227 has been blacklisted,ID1221649283,Email Issue,Email Issue,0.504104750381
mounting bracket for modem,ID1224892551,Modem Setup,Modem Setup,0.530676075461
needed my phone turned on at a cheap rate,ID1234077664,Phone Setup,Phone Not Working,0.415631237099
cable outlet,ID1223385121,Cable Issue,Cable Issue,0.425290596277
need password,ID1222002544,Login Issue,Login Issue,0.7354892801
tv and internet not working,ID1224519779,Internet Not Working,Internet Not Working,0.686926109574
access to my email,ID1219753685,Email Issue,Email Issue,0.676989836858
i would like to be able to log into my modem at home but from my office outside of the home  at home i can log in just fine using the 19216801 ip   is there a similar ip i can use to log into the same place but from the internest side  how do i do ts,ID1223163603,Login Issue,Modem Setup,0.528077781839
i do not have my account number,ID1236314233,Account Info,Account Info,0.461716089437
my cable box makes noise buzz,ID1220572962,Cable Box Not Working,Cable Box Not Working,0.623638068181
i have a service appointment that was scheduled and then cancelled and i did not cancel it,ID1232270887,Appointment,Appointment,0.555275186296
no dial tone cant make calls,ID1222633706,Dail Tone Issue,Dail Tone Issue,0.474385974853
download speed only 331mbps with speed test test timed out when i do uploading,ID1231941989,Speed Issue,Speed Issue,0.743948231804
dvr overfillsonly hold 3-4 hr long shows then starts deleting,ID1227223428,Dvr Issue,Dvr Issue,0.478472613337
my guide does not show all of the channels it is only showing approximately 30 channels,ID1232116812,Channel Issue,Channel Issue,0.638201444108
my account has been locked i forgot my password,ID1225418845,Account Disabled,Login Issue,0.476242742086
my remote is not working  i have changed the batteries,ID1228666170,Remote,Remote,0.64761365768
speed test not available,ID1223492488,Speed Issue,Speed Issue,0.802774431574
my computer seems to be infected i paid office store to fix and it works fine on at their store but when i take it home all the problems are still there  t say i need new ip address microsoft also tried to fix remotely and was unsuccessful,ID1226588610,Modem Setup,Modem Setup,0.437643062316
slow speeds -whats up,ID1225097354,Speed Issue,Speed Issue,0.613339019815
why is my email for ts account being rejected,ID1222470890,Account Info,Email Issue,0.744547221998
how do i set up internet connection to email,ID1227324799,Email Issue,Email Issue,0.579460512825
what internet speed do i have and what modem would be able to work at my house,ID1222566223,Speed Issue,Speed Issue,0.569195855211
why cant i log in,ID1228451878,Login Issue,Login Issue,0.76552787293
internet so slow why,ID1236057775,Speed Issue,Speed Issue,0.888622481938
my speed is way down i did a speed test and download speed is over 100 upload is only about 10 or so is ts normal phone number associated with ts account is 409-283-1991 but my husband works out of town and is not here at the house to speak to you,ID1224137359,Speed Issue,Speed Issue,0.861201322138
how do i turn on my wifi,ID1222454096,Home Wifi,Home Wifi,0.751796372753
cant connect to internet,ID1230250193,Internet Not Working,Internet Not Working,0.769693554008
i need to activate my modem on my account,ID1224933821,Modem Setup,Modem Setup,0.804170072918
im paying for 30 mbps and have been getting 075 mbps all day long,ID1233405186,Speed Issue,Speed Issue,0.442328774004
new internet connection,ID1219783397,Service Issue,Internet Not Working,0.712178029836
i need to cancel my service appointment,ID1229619311,Appointment,Appointment,0.615485168823
can you give me my username and password for my wifi i can not find them,ID1234476163,Wifi Password,Login Issue,0.571501276765
internet is intermitent and very slow,ID1233681308,Speed Issue,Speed Issue,0.874436450417
i need help getting into my locked out account,ID1236009073,Account Disabled,Account Disabled,0.540754915203
how can i get the byutv channel,ID1219101594,Channel Issue,Channel Issue,0.458016079061
internet download speed is slow again - are there any service issues in our area,ID1226564306,Speed Issue,Speed Issue,0.753480303373
