lineText,sessionId,y_pred,y_prob_max,y_true
ts item says it is out of stock however it is allowing me to purchase i want to make sure it really is available ok thanks graco pack n play playard with newborn napper lx-milan,INT-va1appin09-1445122888994-25130,Product Details,0.0811738942782,Product Inventory
i just placed an order and did not get free spping,INT-sv1appin06-1447626437392-52367,Shipping Inquiry,0.612053211808,Shipping Inquiry
"i am trying to buy sometng on line and it has my ""saved cards"" on the order form and i cant get my new card number to print in the slot okay",INT-va1appin09-1445045898214-19468,Order_Issue,-0.459970097296,Payment Issues
 im wondering why when i put the second sure fit cotton duck loveseat slipcover in my cart it didnt give me the lower price like the first one ok,INT-sv1appin08-1445209005656-1245,Product Details,-0.629302556255,Price _Enquiry
 i want to buy a couple of items online that say clearance on them if t dont work out can i return them both items are shoes ok thank you,INT-va1appin09-1445097733590-22448,Return Policy,0.343092903043,Return Policy
i had ordered the ellingham table and chairs but when i enquires about changing my delivery date i was told ts item is no longer in stock and had to be cancelled from my order is there any way of finding out if ts item will ever come back in stock or whether i should buy it from homebase instead albeit more expensive,INT-va1appin09-1439139164698-118162,Product Inventory,1.05412756038,Product Inventory
"is it possible to have an order sent to two separate addresses ""ok thank you""",INT-va1appin05-1445028511117-38940,Shipping Inquiry,0.606451891873,Shipping Inquiry
i can not sign,INT-sv1appin09-1447621990083-51868,Account_Enquiry,0.323665004115,Account_Enquiry
in a college ad a wle back there was shown a plaid duster by mossimo that said it would be available xxxxxx im not finding it help mossimo supply co plaid duster 2499 noits red and black plaid and was in your ad with a full page photo it was in a mailing with many coupons and lots of college supplies its not a sweater it looks more like flannel or some srt material sleeveless,INT-sv1appin09-1441214126741-14297,Product Details,-0.351853369449,Product Inventory
do i have to have an account to order a product how do i do ts as a guest i woud like to order threshold seeded glass industrial floor lamp includes edison bulb,INT-va1appin09-1445130029738-25714,Product Inventory,-0.250611295613,Product Inventory
i am looking at your item 009w007750231001p can you tell me if it has nged branches or how the branches fit on the tree,INT-sv1appin05-1447628245251-52576,Product Details,-0.279693495714,Product Details
 id like to get my order tomorrow and i need to know the cost,INT-sv1appin07-1445201433186-1082,Shipping Inquiry,-0.0339424171056,Shipping Inquiry
can you tell me when you will get the kidkraft addison side table epresso in thank you,INT-sv1appin06-1441331741354-24523,Product Details,-0.332855474947,Product Inventory
