Channel,sessionId,lineText,lineBy,lineNum,L2,L3,issueLine
Argos,INT-va1appin08-1437377427875-33914,dyson dc44 cordless is advertised on tv at 177.99 but not on the web site,2,1,,Promotions/Deals/Discounts,
Argos,INT-va1appin08-1437378177675-33954,I'm trying to order things for delivery but it won't let me,2,1,,Checkout Issue,
Argos,INT-va1appin10-1437378365072-33963,yes what is the height of thefreezer,2,1,,Size-Shape,
Argos,INT-va1appin05-1437379435483-34014,what is the output of this hoover,2,1,,Manufacturer Information,
Argos,INT-va1appin05-1437380094220-34045,is this the cheapest ladies bike@&pound;89,2,1,,Promotions/Deals/Discounts,
Argos,INT-va1appin06-1437380880993-34083,I am looking for a single preferably shallow kids mattress for a bunk bed aprox 76cm,2,1,,Size-Shape,
Argos,INT-va1appin06-1437380993635-34087,The website keeps crashing,2,1,,Order_Assistance,
Argos,INT-va1appin07-1437381754875-34120,Does it have electric rings as well or is it just an oven?,2,1,,Manufacturer Information,
Argos,INT-va1appin06-1437382594223-34159,I want to reserve an item for collection but computer wont let me,2,1,,Order_Assistance,
Argos,INT-va1appin08-1437383168292-34188,can argos do price match,2,1,,Price Match,
Argos,INT-va1appin06-1437383367881-34196,i am going to purchase 2 garden chairs .will I get nectar points if I collect,2,1,,Order_Assistance,
Argos,INT-va1appin09-1437383488841-34200,ihello i am looking for a chest freezer height 85 cent breadth 65 cent len 85 cen,2,1,,Size-Shape,
Argos,INT-va1appin09-1437383508799-34201,yes i was just wondering if the bed is a single? as it doesn't say if its single thanks,2,1,,Size-Shape,
Argos,INT-va1appin10-1437383703186-34209,Does this bistro set come in green or is it black?,2,1,,Color,
Argos,INT-va1appin08-1437384680569-34260,i just wanted to know what variable grill means,2,1,,Price Match,
Argos,INT-va1appin09-1437385100920-34276,looking for a display cabinet to match the ohio tv unit I just bought,2,1,,Color,
Argos,INT-va1appin07-1437385760400-34305,Hi . I'm looking at this Dyson dc44 animal. It is &pound;299 . I was wanting to collect it from ellesmere port and was wondering if it will be reduced any cheaper when I get to the till ? As it is on offer for &pound;245 in homebase.,2,1,,Promotions/Deals/Discounts,
Argos,INT-va1appin09-1437385778350-34304,I am looking to buy and collect the item above..,2,1,,Order_Assistance,
Argos,INT-va1appin09-1437386287745-34327,is it still on sale,2,1,,Promotions/Deals/Discounts,
Argos,INT-va1appin10-1437387237501-34361,I've seen on your main website that there is a 10% discount on cordless vacuum cleaners,2,1,,Promotions/Deals/Discounts,
Argos,INT-va1appin10-1437387323388-34365,product was 99.99&pound; least week and I was planning to buy as a present today/tomorrow,2,1,,Price _Enquiry,
Argos,INT-va1appin08-1437387625054-34383,Im trying to order 2gtech airrams but my E Mail address will not be accepted its the only Ive got,2,1,,Order_Assistance,
Argos,INT-va1appin05-1437387809703-34390,How can you see that? It says argos respects my privacy and you cannot see my screen,2,1,,Promotions/Deals/Discounts,
Argos,INT-va1appin05-1437388347765-34409,cannot type in my address. Will only take half the house name,2,1,,Manufacturer Information,
Argos,INT-va1appin05-1437388520696-34415,Hi is back of the freezer flat,2,1,,Color,
Argos,INT-va1appin08-1437389240333-34450,can you please tell me a mattress preferably memory foam that fits this frame,2,1,,Size-Shape,
Argos,INT-va1appin09-1437389771722-34467,Hello Anakin if the mattress is not the right one can it be returned if the protective packaging ihas not been opened? Thank you,2,1,,Return Policy,
Argos,INT-va1appin08-1437390899609-34519,"Hi, I'm interested in this DC44 but I've seen it advertised on TV for &pound;179.99 but online its &pound;199.99?",2,1,,Promotions/Deals/Discounts,
Argos,INT-va1appin05-1437390935324-34519,"Hi Bill, I'm trying to complete an online order, I have &pound;75.00 in Argos gift cards (in &pound;5.00s!!) but cannot see where I add these to the checkout process, please can you advise. Thanks, Ken",2,1,,Promotions/Deals/Discounts,
Argos,INT-va1appin05-1437390995730-34521,"trying to order the bed all ok but santander password not accepted, please advise",2,1,,Order_Assistance,
Argos,INT-va1appin10-1437391752791-34553,please can you tell me why product number 355/6087 is priced at 179.98 when i just went to order its coming up 249.98 how come this,2,1,,Price _Enquiry,
Argos,INT-va1appin09-1437391916236-34562,Was going to purchase this but the price when I looked last week was &pound;161. Very disappointed as this is now over my budget!,2,1,,Price _Enquiry,
Argos,INT-va1appin09-1437392370882-34585,yes please. I have a leaflet/catalogue that came in the paper yesterday and has the DC44 at &pound;179.99 plus a free tool kit. I can't see where to add the FLOOR10 code or any mention of the free tool kit,2,1,,Price _Enquiry,
Argos,INT-va1appin07-1437392569613-34595,i can buy a dyson v6 animal online for 297.97 from two sites do argos have a compete policy,2,1,,Price Match,
