lineText,sessionId,y_pred,y_prob_max,y_true
reset password,ID1236235171,Login Issue,0.628693369974,Login Issue
not able to login into my timewarner account,ID1225008231,Login Issue,-0.331283804003,Login Issue
question regarding time warner being provider for an app,ID1224521539,App Issue,-0.064692294238,App Issue
new cable modem - need to activate it,ID1223704890,Modem Setup,-0.123776298782,Modem Setup
wifi is turned off on ubee modem,ID1235824174,Home Wifi,0.112432035495,Home Wifi
home phone internet and tv are all down  is there a service disruption in my area,ID1232603363,Service Availablity,-0.41338470938,Phone Not Working
checking whether twc blocks any ports inout of customers,ID1224616746,Login Issue,-0.729601128691,Service Issue
i also need cable run in my office to be able to connect properly for working office job at my home,ID1231062899,Cable Issue,-0.110939702718,Cable Issue
 i am switcng to time warner cable for a triple play  the installation is scheduled for ts coming thursday nov 6 the phone number attached to my account is 8172518534  my name is parag sanghvi and my address is 2701 yorksre court grapevine tx  76051  my question is  what modem-wifi router will t supply with the install and what are its fastest wireless download speeds,ID1219808634,Home Wifi,-0.357154087719,Speed Issue
i forgot my login information,ID1233590373,Login Issue,-0.729601128691,Login Issue
i have turbo internet and just had a modem swap today yet my download speed is only 50 mbps,ID1219141408,Speed Issue,0.380707768787,Speed Issue
i would like to use my own wifi router,ID1235805181,Home Wifi,0.458632744834,Purchase Modem
trying to log on to tw online to watch a walking dead episode and i cant sign on help thanks penelope,ID1236107318,Login Issue,-0.729601128691,Online Tv Issues
cable box wont reboot,ID1235150890,Cable Box Not Working,0.278938070786,Signal Issue
articles on home page now have advrtizements that pop up and obscrure the article until the advertisement is viewed  ts is unacceptable since i already pay for the twc service  i should not have to watch videos to pay for it a second time  ts is all the more maddening as i pay nearly 200 a month for internet and basic cable wle you are offering it on television for less than 100  congratulation on making me feel like a patsy  i am actively looking for alternatives and will be callin,ID1229331728,Internet Not Working,-0.557531150723,Add Ons
my on demand channels are not working i have already unplugged the biox and rebooted it,ID1226556574,Odc-Not Working,0.0170923302967,Odc-Not Working
why is my internet slow i have ultimate but speed is 37 not 50,ID1222935414,Speed Issue,1.62430263715,Speed Issue
i cant connect to wifi from my mobil devices,ID1228508987,Home Wifi,0.458632744834,Home Wifi
hbo technical problem,ID1237054884,Login Issue,-0.729601128691,Channel Issue
need to activate a different outlet in our house - moving cable box  wiring already in place,ID1226155689,Cable Box Not Working,-0.301741168697,Chhange Address - My Move
unable to login to my tw account,ID1229383141,Login Issue,-0.331283804003,Login Issue
i forgot my password to my wifi and i want to connect a device to it how can i find out what my password is to my ubee,ID1236103520,Wifi Password,0.0880341375582,Wifi Password
i have an email acct i am unable to access,ID1221877135,Email Issue,0.45381142214,Email Issue
can i move my service to brooklyn,ID1235455832,Login Issue,-0.729601128691,Purchase Modem
"how to i find "" how to train your dragon 2 hd"" in ""on demand""m ",ID1236141214,Odc-Not Working,0.332158696218,Odc-Not Working
how to watch tv on my app,ID1235169046,Tv Setup,-0.57066916049,Signal Issue
yesterday i stopped receiving emails on my computer  i just got a new phone and it is not receiving emails either neither is my ipad mini  i have all apple products  i tried to go on-line to view my emails and i dont remember my password when t asked me my security question i could not answer it correctly eitheri dont know what to do,ID1226531031,Login Issue,-0.0153393946119,Email Issue
how do i turn off the energy saver feature on my remote,ID1225986982,Remote,0.922037463607,Remote
my email is in two accounts,ID1225958123,Email Issue,0.45381142214,Update
my home wifi is incredibly slow what can i do to speed it back up,ID1228580584,Speed Issue,1.28543291426,Speed Issue
installing new modem,ID1224990956,Modem Setup,0.303496439344,Modem Setup
account log on has been disabled,ID1229828610,Account Disabled,-0.139665252911,Login Issue
purchased a smart tv and would like to know if there is a specific box to connect to the tv,ID1231460415,Cable Box Not Working,-0.560164885419,Tv Setup
 my prblem is i upgraded to dual modem to have a wifi connection it work on cellphonesand internet i just cant get it insyalled on my lg smart tv it wont accept a password help,ID1231287159,Home Wifi,-0.423060249561,Tv Setup
i am not able to login to my account,ID1230705911,Login Issue,-0.331283804003,Login Issue
"no phone all day when tried to call home it tels me "" due to network difficulties your call can not be made at ts time"" any idea when the problem will be resolved",ID1229846898,Phone Not Working,-0.0929528084616,Phone Not Working
how to check twc wifi internet speed without connecting your laptop directly to your modem or router,ID1236259694,Speed Issue,0.106937388225,Speed Issue
cable box is unresponsive - cant change channel w remote or directly on the box,ID1228525672,Cable Box Not Working,-0.0879116565237,Cable Box Not Working
dont remember my password,ID1230900683,Login Issue,0.628693369974,Login Issue
i am unable to call right now because i am working but my cable is not working  i have not received a shut off notice i usually make arrangements and postdate a check wch i was going to do on monday  all channels say call 972picktwc,ID1231965183,Signal Issue,0.0982993906298,Cable Issue
i dont know my time warner log in information for using tv apps like hbo go can you please help,ID1226895827,Signal Issue,-0.594593786902,Login Issue
in addition would ts delivery require a technician to come to my home to set kit up seeing as i work full hours and cannot wait for a tcechnincian i was wondering what my options will be  i would like order a dvr for an optimum tv however the only option offered is to visit an optimum store to pick it up the other options- call 866 218-3259- cause cause for concern even if  i call the number provided  and am able to order i work full hours and cannot wait for a tcechnincion   what are ,ID1229348763,Dvr Issue,0.51052253593,Tv Setup
we picked up a new cable boxremote today and we are having fits with trying to program the remotewe have tried every way possible and cannot get it to work  can you help,ID1233585304,Cable Issue,-0.110939702718,Remote
my wifi is very spotty and often does not work,ID1231544457,Home Wifi,0.458632744834,Home Wifi
is it possible to get a hardwire connection in another room from where my modem is currently,ID1229720419,Modem Setup,0.303496439344,Modem Setup
channel guide is sorting alphabetically,ID1228379814,Channel Issue,0.447453393481,Channel List
ive closed my account but would like to pay my last bill,ID1230398705,Login Issue,-0.331283804003,Bill Related
 for the last two weeks my espn channel has been missing twice ive called about it and it will be fixed but only lasts for a few hours then goes missing again,ID1230993295,Channel Issue,0.447453393481,Channel Issue
i am having trouble logging in can you let me know my username,ID1232644697,Login Issue,-0.729601128691,Login Issue
internet connection down,ID1235341457,Internet Not Working,0.292607691801,Internet Not Working
upgraded to extreme 10026 hours agojust getting 20 down and 1 up  need my 100 down and 5 up please,ID1221311241,Login Issue,-0.729601128691,Upgrade Plan-Internet
i havent received emails on my elainegordonaustinrrcom account since monday  have uninstalled and reinstalled have checked roadrunner online instead of through my email app have tried on several devices notng is there  how do i troubleshoot,ID1234549659,Email Issue,-0.246736751834,Email Issue
i need to schedule another appointment,ID1221359762,Appointment,0.882026778961,Appointment
i need my phone number,ID1228115872,Phone Not Working,-0.0929528084616,Account Setup
i am only getting 15mbps download speeds,ID1221463895,Login Issue,-0.729601128691,Speed Issue
i never setup a twc id but it says one already exits  how do i reset that acct,ID1221933279,Twc Id,-0.333479483115,Account Info
need a replacement remote,ID1232575319,Remote,0.922037463607,Remote
bill,ID1229940997,Login Issue,-0.729601128691,Bill Related
 i was chatting with ronin and lost connection just before he had time to give me the day and time of my appointment with a technician,ID1232208427,Appointment,0.882026778961,Appointment
receiving mail delivery failure notices,ID1223750962,Login Issue,-0.729601128691,Email Issue
where i buy the cable box,ID1224111313,Cable Box Not Working,0.278938070786,Service Issue
my internet stops working repeatedly,ID1229513489,Internet Not Working,0.292607691801,Internet Not Working
ive been locked out of my account,ID1232332097,Account Disabled,0.350088668145,Login Issue
i am receiving email bounce back saying  my mail server 10714166227 has been blacklisted,ID1221649283,Email Issue,0.45381142214,Email Issue
trying to register for starz - account disabled,ID1235949763,Account Disabled,0.360854339002,Account Disabled
please activate my internet service order 2003006996 mac address 001adeadfa7a,ID1227395941,Internet Not Working,0.292607691801,Service Issue
unablel to access phone feature to block a number,ID1235919217,Block Calls,0.390781896137,Phone Not Working
mounting bracket for modem,ID1224892551,Modem Setup,0.303496439344,Modem Setup
needed my phone turned on at a cheap rate,ID1234077664,Phone Not Working,-0.0929528084616,Phone Setup
cable outlet,ID1223385121,Cable Issue,-0.110939702718,Cable Issue
why does every sunday the football channel 9 does not come in,ID1235284017,Channel Issue,0.447453393481,Channel Issue
need password,ID1222002544,Login Issue,0.628693369974,Login Issue
how can i get my multi-room dvr to work on my other tvs i have cable boxes on the other two tvs,ID1224184917,Dvr Issue,-0.158930871151,Dvr Issue
